sid,observation_time,variable,bucket,object_key,object_size_bytes,object_etag,access_date
2019236N08143,2019-08-27T21:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_131_u.ll025uv.2019082700_2019082723.nc,1564459539,cc6332f8dbf8d09706198d51131cbc72-187,2026-08-02
2019236N08143,2019-08-27T21:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_132_v.ll025uv.2019082700_2019082723.nc,1691670178,3450d59c3ee219f9d851c70a15dcff55-202,2026-08-02
2019243N06136,2019-08-30T06:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_157_r.ll025sc.2019083000_2019083023.nc,1418352713,15fc19d3fa5fdd096ecae4c2b7feccf2-170,2026-08-02
2019243N06136,2019-08-30T06:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_131_u.ll025uv.2019083000_2019083023.nc,1571545134,c6a2925723d09121863fbd4291286b2c-188,2026-08-02
2019243N06136,2019-08-30T06:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_132_v.ll025uv.2019083000_2019083023.nc,1679474190,edfb129ac3a1f0225472b30292422a1f-201,2026-08-02
2019243N06136,2019-08-31T06:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_157_r.ll025sc.2019083100_2019083123.nc,1424505410,293733454885dbe347065ad0367d8951-170,2026-08-02
2019243N06136,2019-08-31T06:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_131_u.ll025uv.2019083100_2019083123.nc,1571932991,334b1b838d4277ed787d208d12adbaa6-188,2026-08-02
2019243N06136,2019-08-31T06:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201908/e5.oper.an.pl.128_132_v.ll025uv.2019083100_2019083123.nc,1666823646,3e2bdf25a6a158aef7bf61e001163ae0-199,2026-08-02
2019243N06136,2019-09-01T06:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_157_r.ll025sc.2019090100_2019090123.nc,1436545344,74afb333d5aef7a1b57374d05a20d428-172,2026-08-02
2019243N06136,2019-09-01T06:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_131_u.ll025uv.2019090100_2019090123.nc,1573538408,966b0f8752c0453c05dd13db8458f223-188,2026-08-02
2019243N06136,2019-09-01T06:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_132_v.ll025uv.2019090100_2019090123.nc,1676286646,1dd463f311d8fb9601ac74f045ecebe5-200,2026-08-02
2019243N06136,2019-09-02T03:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_157_r.ll025sc.2019090200_2019090223.nc,1414841307,5523b7829b30c3d9ea610ac8cbc88d05-169,2026-08-02
2019243N06136,2019-09-02T03:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_131_u.ll025uv.2019090200_2019090223.nc,1576448498,4e0f0eafb2ba03faa498de47dfea3340-188,2026-08-02
2019243N06136,2019-09-02T03:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_132_v.ll025uv.2019090200_2019090223.nc,1671982962,fef5932b9b9548b2db59c425050e31e6-200,2026-08-02
2019268N10155,2019-09-24T12:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_157_r.ll025sc.2019092400_2019092423.nc,1515392713,630be0402295b95f9a7840f26272207f-181,2026-08-02
2019268N10155,2019-09-24T12:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_131_u.ll025uv.2019092400_2019092423.nc,1580674584,92f137b8549a7b1d827869aad036f039-189,2026-08-02
2019268N10155,2019-09-24T12:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_132_v.ll025uv.2019092400_2019092423.nc,1698459353,807bb6614aa4b9a2dd755892539229b8-203,2026-08-02
2019268N10155,2019-09-25T12:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_157_r.ll025sc.2019092500_2019092523.nc,1516160531,0d6bdf699c86756e0e51b70abf83af4e-181,2026-08-02
2019268N10155,2019-09-25T12:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_131_u.ll025uv.2019092500_2019092523.nc,1582091882,a9cdbf24574115930168c9f21ad11bdd-189,2026-08-02
2019268N10155,2019-09-25T12:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_132_v.ll025uv.2019092500_2019092523.nc,1720185480,4f4dada89be26bfacd860dff206776f8-206,2026-08-02
2019268N10155,2019-09-26T12:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_157_r.ll025sc.2019092600_2019092623.nc,1502342485,9591c681307bc363ec5408fb7d45de97-180,2026-08-02
2019268N10155,2019-09-26T12:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_131_u.ll025uv.2019092600_2019092623.nc,1573411427,ceb21f4c51ffea539fbfed11b734e3df-188,2026-08-02
2019268N10155,2019-09-26T12:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_132_v.ll025uv.2019092600_2019092623.nc,1711920851,a5241aaf85b913d52981b8899018a71d-205,2026-08-02
2019268N10155,2019-09-27T09:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_157_r.ll025sc.2019092700_2019092723.nc,1494409452,f7d0977f043deca95e7048af4266c016-179,2026-08-02
2019268N10155,2019-09-27T09:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_131_u.ll025uv.2019092700_2019092723.nc,1564954339,762ce2e22221a965d5386fa23fe9b622-187,2026-08-02
2019268N10155,2019-09-27T09:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/201909/e5.oper.an.pl.128_132_v.ll025uv.2019092700_2019092723.nc,1698521413,5f89db5ff4996a04c32417a9d29dcc3d-203,2026-08-02
2020293N23139,2020-10-19T06:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/202010/e5.oper.an.pl.128_157_r.ll025sc.2020101900_2020101923.nc,1444558505,5964f3bf18c8e347a16a2fe684cbf122-173,2026-08-02
2020293N23139,2020-10-19T06:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/202010/e5.oper.an.pl.128_131_u.ll025uv.2020101900_2020101923.nc,1587584914,0667c39b9864a53b10cfd5f933342c3c-190,2026-08-02
2020293N23139,2020-10-19T06:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/202010/e5.oper.an.pl.128_132_v.ll025uv.2020101900_2020101923.nc,1700946169,81e7c7e5fd48648e519b4a760d209a9b-203,2026-08-02
2020293N23139,2020-10-20T06:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/202010/e5.oper.an.pl.128_157_r.ll025sc.2020102000_2020102023.nc,1445603489,d6e2aad7da212f5c075dda56a76336db-173,2026-08-02
2020293N23139,2020-10-20T06:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/202010/e5.oper.an.pl.128_131_u.ll025uv.2020102000_2020102023.nc,1573201424,4b85a427373a17f2b03dbb85018a01a3-188,2026-08-02
2020293N23139,2020-10-20T06:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/202010/e5.oper.an.pl.128_132_v.ll025uv.2020102000_2020102023.nc,1705556475,6e056d965fadaab62abc3683c7d2f954-204,2026-08-02
2020293N23139,2020-10-21T06:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/202010/e5.oper.an.pl.128_157_r.ll025sc.2020102100_2020102123.nc,1446408637,cbc7b6feff2e13556bb17197b8ef3f5f-173,2026-08-02
2020293N23139,2020-10-21T06:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/202010/e5.oper.an.pl.128_131_u.ll025uv.2020102100_2020102123.nc,1575574058,9ead7cfa9e6dbe034dde8e6e1c7ef691-188,2026-08-02
2020293N23139,2020-10-21T06:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/202010/e5.oper.an.pl.128_132_v.ll025uv.2020102100_2020102123.nc,1706034489,e36099142f0c963375f02229ac4baa89-204,2026-08-02
2020293N23139,2020-10-22T03:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/202010/e5.oper.an.pl.128_157_r.ll025sc.2020102200_2020102223.nc,1446014677,3515dab5ec04c4c3f8a65ceac123a234-173,2026-08-02
2020293N23139,2020-10-22T03:00:00+00:00,u,nsf-ncar-era5,e5.oper.an.pl/202010/e5.oper.an.pl.128_131_u.ll025uv.2020102200_2020102223.nc,1582185358,e6d429c9d35d68fa78665ca92379a8c5-189,2026-08-02
2020293N23139,2020-10-22T03:00:00+00:00,v,nsf-ncar-era5,e5.oper.an.pl/202010/e5.oper.an.pl.128_132_v.ll025uv.2020102200_2020102223.nc,1694966239,9d20a12784ce3ac92a231ab3e963eedb-203,2026-08-02
2021185N13121,2021-07-03T18:00:00+00:00,r,nsf-ncar-era5,e5.oper.an.pl/202107/e5.oper.an.pl.128_157_r.ll025sc.2021070300_2021070323.nc,1367899555,c1ddcfad08c4266a0e4915d983a9ba9c-164,2026-08-02
