sid,name,outcome,endpoint_time,endpoint_type,observation_time,hours_to_endpoint,center_lat,center_lon,pair_id
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-24T03:00:00+00:00,-21,24.4,120.4,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-24T06:00:00+00:00,-18,24.5,120.5,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-24T09:00:00+00:00,-15,24.7,120.4,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-24T12:00:00+00:00,-12,24.8,120.2,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-24T15:00:00+00:00,-9,24.9,120.1,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-24T18:00:00+00:00,-6,25.0,119.9,3
2018234N22119,UNNAMED,0,2018-08-25T00:00:00+00:00,72h_after_first_track,2018-08-24T21:00:00+00:00,-3,25.0,119.7,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-25T00:00:00+00:00,-72,11.1,137.7,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-25T03:00:00+00:00,-69,11.7,137.3,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-25T06:00:00+00:00,-66,12.1,136.8,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-25T09:00:00+00:00,-63,12.4,136.2,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-25T12:00:00+00:00,-60,12.5,135.5,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-25T15:00:00+00:00,-57,12.6,134.7,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-25T18:00:00+00:00,-54,12.6,133.9,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-25T21:00:00+00:00,-51,12.7,133.2,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-26T00:00:00+00:00,-48,12.9,132.5,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-26T03:00:00+00:00,-45,13.0,131.8,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-26T06:00:00+00:00,-42,13.2,131.1,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-26T09:00:00+00:00,-39,13.4,130.3,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-26T12:00:00+00:00,-36,13.5,129.5,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-26T15:00:00+00:00,-33,13.7,128.8,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-26T18:00:00+00:00,-30,14.0,128.1,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-26T21:00:00+00:00,-27,14.3,127.3,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-27T00:00:00+00:00,-24,14.6,126.5,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-27T03:00:00+00:00,-21,14.9,125.6,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-27T06:00:00+00:00,-18,15.2,124.6,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-27T09:00:00+00:00,-15,15.6,123.7,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-27T12:00:00+00:00,-12,15.9,122.8,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-27T15:00:00+00:00,-9,16.1,121.9,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-27T18:00:00+00:00,-6,16.3,120.6,3
2019236N08143,PODUL,1,2019-08-28T00:00:00+00:00,first_US_TS_or_34kt,2019-08-27T21:00:00+00:00,-3,16.5,119.2,3
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-03T12:00:00+00:00,-72,16.0,132.4,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-03T15:00:00+00:00,-69,16.2,131.4,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-03T18:00:00+00:00,-66,16.3,130.3,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-03T21:00:00+00:00,-63,16.3,129.3,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04T00:00:00+00:00,-60,16.3,128.4,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04T03:00:00+00:00,-57,16.3,127.8,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04T06:00:00+00:00,-54,16.3,127.3,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04T09:00:00+00:00,-51,16.4,126.6,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04T12:00:00+00:00,-48,16.4,125.9,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04T15:00:00+00:00,-45,16.5,125.5,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04T18:00:00+00:00,-42,16.7,125.2,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-04T21:00:00+00:00,-39,17.0,124.9,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-05T00:00:00+00:00,-36,17.5,124.9,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-05T03:00:00+00:00,-33,18.2,124.6,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-05T06:00:00+00:00,-30,18.9,124.2,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-05T09:00:00+00:00,-27,19.4,123.5,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-05T12:00:00+00:00,-24,19.7,122.6,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-05T15:00:00+00:00,-21,20.0,121.8,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-05T18:00:00+00:00,-18,20.2,121.1,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-05T21:00:00+00:00,-15,20.2,120.7,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-06T00:00:00+00:00,-12,20.3,120.4,4
2017247N16132,GUCHOL,0,2017-09-06T12:00:00+00:00,72h_after_first_track,2017-09-06T03:00:00+00:00,-9,20.4,120.1,4
